TimeStamp,TAG,Value
2020-01-02 00:00:00,DQO_REACTOR_BIO,433.7
2020-01-02 00:00:00,DQO_VERTIMIENTO,261.8
2020-01-03 00:00:00,DQO_REACTOR_BIO,883.5
2020-01-03 00:00:00,DQO_VERTIMIENTO,537.6
2020-01-04 00:00:00,DQO_REACTOR_BIO,894.7
2020-01-04 00:00:00,DQO_VERTIMIENTO,227.6
2020-01-05 00:00:00,DQO_REACTOR_BIO,773.7
2020-01-05 00:00:00,DQO_VERTIMIENTO,410.3
2020-01-08 00:00:00,DQO_REACTOR_BIO,674.5
2020-01-08 00:00:00,DQO_VERTIMIENTO,480.6
2020-01-09 00:00:00,DQO_REACTOR_BIO,579.8
2020-01-09 00:00:00,DQO_VERTIMIENTO,543.2
2020-01-10 00:00:00,DQO_REACTOR_BIO,984.4
2020-01-10 00:00:00,DQO_VERTIMIENTO,447.9
2020-01-11 00:00:00,DQO_REACTOR_BIO,471.0
2020-01-11 00:00:00,DQO_VERTIMIENTO,467.0
2020-01-15 00:00:00,DQO_REACTOR_BIO,661.5
2020-01-15 00:00:00,DQO_VERTIMIENTO,475.1
2020-01-16 00:00:00,DQO_REACTOR_BIO,872.3
2020-01-16 00:00:00,DQO_VERTIMIENTO,330.9
2020-01-18 00:00:00,DQO_REACTOR_BIO,716.9
2020-01-18 00:00:00,DQO_VERTIMIENTO,222.6
2020-01-19 00:00:00,DQO_REACTOR_BIO,673.2
2020-01-19 00:00:00,DQO_VERTIMIENTO,420.8
2020-01-21 00:00:00,DQO_REACTOR_BIO,777.0
2020-01-21 00:00:00,DQO_VERTIMIENTO,520.9
2020-01-23 00:00:00,DQO_REACTOR_BIO,859.0
2020-01-23 00:00:00,DQO_VERTIMIENTO,399.4
2020-01-24 00:00:00,DQO_REACTOR_BIO,774.7
2020-01-24 00:00:00,DQO_VERTIMIENTO,207.4
2020-01-25 00:00:00,DQO_REACTOR_BIO,971.6
2020-01-25 00:00:00,DQO_VERTIMIENTO,548.8
2020-01-28 00:00:00,DQO_REACTOR_BIO,556.0
2020-01-28 00:00:00,DQO_VERTIMIENTO,451.9
2020-01-29 00:00:00,DQO_REACTOR_BIO,1023.6
2020-01-29 00:00:00,DQO_VERTIMIENTO,460.8
2020-02-01 00:00:00,DQO_REACTOR_BIO,924.1
2020-02-01 00:00:00,DQO_VERTIMIENTO,209.0
2020-02-02 00:00:00,DQO_REACTOR_BIO,867.4
2020-02-02 00:00:00,DQO_VERTIMIENTO,327.8
2020-02-04 00:00:00,DQO_REACTOR_BIO,597.3
2020-02-04 00:00:00,DQO_VERTIMIENTO,400.8
2020-02-06 00:00:00,DQO_REACTOR_BIO,756.9
2020-02-06 00:00:00,DQO_VERTIMIENTO,452.5
2020-02-07 00:00:00,DQO_REACTOR_BIO,400.0
2020-02-07 00:00:00,DQO_VERTIMIENTO,450.6
2020-02-08 00:00:00,DQO_REACTOR_BIO,854.6
2020-02-08 00:00:00,DQO_VERTIMIENTO,605.1
2020-02-10 00:00:00,DQO_REACTOR_BIO,762.8
2020-02-10 00:00:00,DQO_VERTIMIENTO,392.9
2020-02-11 00:00:00,DQO_REACTOR_BIO,705.0
2020-02-11 00:00:00,DQO_VERTIMIENTO,482.7
2020-02-13 00:00:00,DQO_REACTOR_BIO,418.2
2020-02-13 00:00:00,DQO_VERTIMIENTO,380.4
2020-02-16 00:00:00,DQO_REACTOR_BIO,556.6
2020-02-16 00:00:00,DQO_VERTIMIENTO,341.6
2020-02-18 00:00:00,DQO_REACTOR_BIO,737.9
2020-02-18 00:00:00,DQO_VERTIMIENTO,366.1
2020-02-20 00:00:00,DQO_REACTOR_BIO,699.2
2020-02-20 00:00:00,DQO_VERTIMIENTO,511.7
2020-02-21 00:00:00,DQO_REACTOR_BIO,627.2
2020-02-21 00:00:00,DQO_VERTIMIENTO,547.3
2020-02-22 00:00:00,DQO_REACTOR_BIO,477.9
2020-02-22 00:00:00,DQO_VERTIMIENTO,361.1
2020-02-25 00:00:00,DQO_REACTOR_BIO,762.5
2020-02-25 00:00:00,DQO_VERTIMIENTO,458.4
2020-02-27 00:00:00,DQO_REACTOR_BIO,897.7
2020-02-27 00:00:00,DQO_VERTIMIENTO,412.2
2020-02-29 00:00:00,DQO_REACTOR_BIO,632.7
2020-02-29 00:00:00,DQO_VERTIMIENTO,222.9
2020-03-01 00:00:00,DQO_REACTOR_BIO,913.7
2020-03-01 00:00:00,DQO_VERTIMIENTO,180.0
2020-03-02 00:00:00,DQO_REACTOR_BIO,830.4
2020-03-02 00:00:00,DQO_VERTIMIENTO,497.3
2020-03-03 00:00:00,DQO_REACTOR_BIO,960.9
2020-03-03 00:00:00,DQO_VERTIMIENTO,534.7
2020-03-06 00:00:00,DQO_REACTOR_BIO,687.6
